,...1,latitude,longitude,business_name,street_address,zip,NAICS_2017_6digit_code,NAICS_2017_6digit_desc,NAICS_2017_2digit_code,NAICS_2017_2digit_desc,estimated_employment,employment_buckets,mainstreet,geometry,district,index_right,DISTRICT,
2667,2668,42.311327,-71.080831,wingz + tingz,388 Blue Hill Ave,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,5,1 to 9,Grove Hall,POINT (-71.080831 42.311327),,6,4,small business
2670,2671,42.305682,-71.081282,washington columbia li,95 Washington St,2121,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,3,1 to 9,Grove Hall,POINT (-71.081282 42.305682),,6,4,
2671,2672,42.305682,-71.081282,washington columbia ii apartments,95 Washington St,2121,0,,99,,5,1 to 9,Grove Hall,POINT (-71.081282 42.305682),,6,4,
2672,2673,42.305404,-71.081098,washington columbia ii,102 Columbia Rd,2121,0,,99,Undefined,0,Not Available,Grove Hall,POINT (-71.081098 42.305404),,6,4,
2674,2675,42.307953,-71.083183,vip wireless,482 Blue Hill Ave,2121,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,2,1 to 9,Grove Hall,POINT (-71.083183 42.307953),,6,4,small business
2679,2680,42.307361,-71.082764,upscale home solutions inc,23 Washington St,2121,0,,99,Undefined,0,Not Available,Grove Hall,POINT (-71.082764 42.307361),,6,4,
2683,2684,42.3082,-71.0828,transitional remedies solutions,320B Blue Hill Ave,2121,813319,Other Social Advocacy Organizations,81,Other Services,9,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2684,2685,42.307847,-71.083035,touch of class,11 Washington St,2121,812112,Beauty Salons,81,Personal Care Services,2,1 to 9,Grove Hall,POINT (-71.083035 42.307847),,6,4,
2685,2686,42.3082,-71.0828,touch fm,5 Cheney St,2121,515112,Radio Stations,51,Information,8,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2686,2687,42.307846,-71.082985,tiffany nail spa,9 Washington St,2121,812113,Nail Salons,81,Personal Care Services,3,1 to 9,Grove Hall,POINT (-71.082985 42.307846),,6,4,
2688,2689,42.307953,-71.083183,teleprime llc,482 Blue Hill Ave,2121,237990,Other Heavy and Civil Engineering Construction,23,Construction,0,Not Available,Grove Hall,POINT (-71.083183 42.307953),,6,4,
2689,2690,42.311327,-71.080831,tasty caribbean,388 Blue Hill Ave,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,8,1 to 9,Grove Hall,POINT (-71.080831 42.311327),,6,4,
2690,2691,42.307069,-71.082074,sun pizza,46 Washington St,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,2,1 to 9,Grove Hall,POINT (-71.082074 42.307069),,6,4,
2691,2692,42.3082,-71.0828,stone & skillet,198 Quincy St,2121,311812,Commercial Bakeries,31,Manufacturing,25,25 to 49,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2693,2694,42.312811,-71.079707,spots cleaners & tailoring inc,336 Blue Hill Ave,2121,812320, ,81,Other Services,1,1 to 9,Grove Hall,POINT (-71.079707 42.312811),,6,4,
2694,2695,42.3082,-71.0828,specialized rigging & tree,121 Townsend St,2121,561730,Landscaping Services,56,"Adminstrative, Support, Waste Management, and Remediation Services",1,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2695,2696,42.311192,-71.081009,sparkle & shoes & accessories,73 Brunswick St,2121,448210,Shoe Stores,44,Retail Trade,5,1 to 9,Grove Hall,POINT (-71.081009 42.311192),,6,4,
2698,2699,42.308081,-71.08237,simple site solutions llc,24 Washington St,2121,0,,99,Undefined,0,Not Available,Grove Hall,POINT (-71.08237 42.308081),,6,4,
2701,2702,42.308042,-71.083157,salon bounce,480 Blue Hill Ave,2121,812112,Beauty Salons,81,Personal Care Services,2,1 to 9,Grove Hall,POINT (-71.083157 42.308042),,6,4,
2702,2703,42.303842,-71.084732,safwan enterprise inc,600 Blue Hill Ave,2121,0,,99,Undefined,0,Not Available,Grove Hall,POINT (-71.084732 42.303842),,6,4,
2704,2705,42.3082,-71.0828,roxbury printshop,199 Humboldt Ave,2121,323111,Commercial Printing (except Screen and Books),32,Manufacturing,3,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2710,2711,42.313512,-71.079241,quincy geneva housing corporation,320 Blue Hill Ave,2121,0,,99,Undefined,0,Not Available,Grove Hall,POINT (-71.079241 42.313512),,6,4,
2712,2713,42.3082,-71.0828,pure oasis,430 Blue Hill Ave,2121,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),45,Retail Trade,2,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2713,2714,42.3082,-71.0828,"project right, inc",320A Blue Hill Ave,2121,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,4,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2715,2716,42.308081,-71.08237,prince hall grand lodge,24 Washington St,2121,813410,Civic and Social Organizations,81,Other Services,6,1 to 9,Grove Hall,POINT (-71.08237 42.308081),,6,4,
2716,2717,42.307953,-71.083183,porta classica,478 Blue Hill Ave,2121,448110,Men's Clothing Stores,44,Retail Trade,7,1 to 9,Grove Hall,POINT (-71.083183 42.307953),,6,4,
2717,2718,42.303658,-71.084763,pls check cashers,610 Blue Hill Ave,2121,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,10,10 to 24,Grove Hall,POINT (-71.084763 42.303658),,6,4,
2719,2720,42.307008,-71.083818,peabody properties,504 Blue Hill Ave,2121,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,5,1 to 9,Grove Hall,POINT (-71.083818 42.307008),,6,4,
2721,2722,42.309727,-71.082169,paradise nails,438 Blue Hill Ave,2121,812113,Nail Salons,81,Personal Care Services,3,1 to 9,Grove Hall,POINT (-71.082169 42.309727),,6,4,
2723,2724,42.3082,-71.0828,"oneunited bank (dorchester, ma)",648 Warren St,2121,522110,Commercial Banking,52,Finance and Insurance,50,50 to 99,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2725,2726,42.309511,-71.08231,new york fried chicken,442 Blue Hill Ave,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,3,1 to 9,Grove Hall,POINT (-71.08231 42.309511),,6,4,
2730,2731,42.310979,-71.081184,mott macdonald,400 Blue Hill Ave,2121,541330,Engineering Services,54,"Professional, Scientific, and Technical Services",34,25 to 49,Grove Hall,POINT (-71.081184 42.310979),,6,4,
2733,2734,42.307137,-71.083719,millennium market,496 Blue Hill Ave,2121,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,4,1 to 9,Grove Hall,POINT (-71.083719 42.307137),,6,4,
2735,2736,42.313617,-71.079116,mentoring security inc,318 Blue Hill Ave,2121,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",42,Wholesale Trade,8,1 to 9,Grove Hall,POINT (-71.079116 42.313617),,6,4,
2737,2738,42.313617,-71.079116,matthew's dumpsters,318 Blue Hill Ave,2121,484110,"General Freight Trucking, Local",48,Transportation and Warehosuing,3,1 to 9,Grove Hall,POINT (-71.079116 42.313617),,6,4,
2744,2745,42.3082,-71.0828,madrag,452 Blue Hill Ave,2121,448140,Family Clothing Stores,44,Retail Trade,3,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2745,2746,42.312757,-71.079755,macoa barber shop,338 Blue Hill Ave,2121,812111,Barber Shops,81,Personal Care Services,5,1 to 9,Grove Hall,POINT (-71.079755 42.312757),,6,4,
2747,2748,42.309971,-71.081839,los magicos barbershop-mltsrvc,436 Blue Hill Ave,2121,812111,Barber Shops,81,Personal Care Services,2,1 to 9,Grove Hall,POINT (-71.081839 42.309971),,6,4,
2749,2750,42.306273,-71.081936,lisa martin real estate,59 Washington St,2121,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,5,1 to 9,Grove Hall,POINT (-71.081936 42.306273),,6,4,
2750,2751,42.305404,-71.081098,linking hands day care center,102 Columbia Rd,2121,624410,Child Day Care Services,62,Healthcare and Social Assistance,7,1 to 9,Grove Hall,POINT (-71.081098 42.305404),,6,4,
2751,2752,42.312022,-71.080342,lindsey & associates,350 Blue Hill Ave,2121,541110,Offices of Lawyers,54,"Professional, Scientific, and Technical Services",4,1 to 9,Grove Hall,POINT (-71.080342 42.312022),,6,4,
2753,2754,42.308483,-71.082725,leslie transportation service,2 Washington St,2121,485999,All Other Transit and Ground Passenger Transportation,48,Transportation and Warehosuing,1,1 to 9,Grove Hall,POINT (-71.082725 42.308483),,6,4,
2757,2758,42.307568,-71.0833,kujichagulia wellness center,484 Blue Hill Ave,2121,621999,All Other Miscellaneous Ambulatory Health Care Services,62,Healthcare and Social Assistance,0,Not Available,Grove Hall,POINT (-71.0833 42.307568),,6,4,
2759,2760,42.305927,-71.081482,kessler mcguiness & associates,69 Washington St,2121,541310,Architectural Services,54,"Professional, Scientific, and Technical Services",0,Not Available,Grove Hall,POINT (-71.081482 42.305927),,6,4,
2761,2762,42.306576,-71.081851,jeremiah e burke high school,60 Washington St,2121,611110,Elementary and Secondary Schools,61,Educational Services,91,50 to 99,Grove Hall,POINT (-71.081851 42.306576),,6,4,
2762,2763,42.3082,-71.0828,jaz hair extensions,59 Cheney St,2121,812199,Other Personal Care Services,81,Other Services,3,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2764,2765,42.3082,-71.0828,independent headquarters,493C Blue Hill Ave,2121,523930,Investment Advice,52,Finance and Insurance,9,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2765,2766,42.3082,-71.0828,idr construction inc,,2121,236118,Residential Remodelers,23,Construction,5,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2766,2767,42.306419,-71.081261,holy tabernacle church,70 Washington St,2121,813110,Religious Organizations,81,Other Services,1,1 to 9,Grove Hall,POINT (-71.081261 42.306419),,6,4,
2768,2769,42.309727,-71.082169,health & sports rehabilitation,438A Blue Hill Ave,2121,621999,All Other Miscellaneous Ambulatory Health Care Services,62,Healthcare and Social Assistance,10,10 to 24,Grove Hall,POINT (-71.082169 42.309727),,6,4,
2769,2770,42.31101,-71.081064,health & sports rehabilitation,402 Blue Hill Ave,2121,621493,Freestanding Ambulatory Surgical and Emergency Centers,62,Healthcare and Social Assistance,6,1 to 9,Grove Hall,POINT (-71.081064 42.31101),,6,4,
2772,2773,42.312022,-71.080342,habitat for humanities,350 Blue Hill Ave,2121,0,,99,Undefined,0,Not Available,Grove Hall,POINT (-71.080342 42.312022),,6,4,
2773,2774,42.306946,-71.082634,grove hall resident associates,20 Castlegate Rd,2121,541720,Research and Development in the Social Sciences and Humanities,54,"Professional, Scientific, and Technical Services",5,1 to 9,Grove Hall,POINT (-71.082634 42.306946),,6,4,
2774,2775,42.3128,-71.07979,grove hall plumbing co,342 Blue Hill Ave,2121,238160,Roofing Contractors,23,Construction,5,1 to 9,Grove Hall,POINT (-71.07979 42.3128),,6,4,
2777,2778,42.313512,-71.079241,greater grove hall main strts,320 Blue Hill Ave,2121,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,5,1 to 9,Grove Hall,POINT (-71.079241 42.313512),,6,4,
2779,2780,42.3082,-71.0828,gigian jewelers,33 Washington St,2121,448310,Jewelry Stores,44,Retail Trade,2,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2784,2785,42.305404,-71.081098,four corners action coalition,102 Columbia Rd,2121,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,9,1 to 9,Grove Hall,POINT (-71.081098 42.305404),,6,4,
2791,2792,42.305033,-71.084308,fernandez liquor store,562 Blue Hill Ave,2121,445310,"Beer, Wine, and Liquor Stores",44,Retail Trade,4,1 to 9,Grove Hall,POINT (-71.084308 42.305033),,6,4,
2792,2793,42.313512,-71.079241,familyaid blue hill ave,317 Blue Hill Ave,2121,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,9,1 to 9,Grove Hall,POINT (-71.079241 42.313512),,6,4,
2794,2795,42.313512,-71.079241,em's variety,320 Blue Hill Ave,2121,452319,All Other General Merchandise Stores,45,Retail Trade,2,1 to 9,Grove Hall,POINT (-71.079241 42.313512),,6,4,
2795,2796,42.313275,-71.079387,el regreso,322 Blue Hill Ave,2121,493120,Refrigerated Warehousing and Storage,49,Transportation and Warehosuing,16,10 to 24,Grove Hall,POINT (-71.079387 42.313275),,6,4,
2802,2803,42.3082,-71.0828,dimock comm health center,71 Washington St,2121,611691,Exam Preparation and Tutoring,61,Educational Services,2,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2803,2804,42.303725,-71.084711,d'laly's beauty salon,6 Columbia Rd,2121,812112,Beauty Salons,81,Personal Care Services,2,1 to 9,Grove Hall,POINT (-71.084711 42.303725),,6,4,
2805,2806,42.305033,-71.084308,community outreach group,331 Seaver St,2121,0,,99,Undefined,0,Not Available,Grove Hall,POINT (-71.084308 42.305033),,6,4,
2806,2807,42.309778,-71.082094,comeback physical therapy inc,440 Blue Hill Ave,2121,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",62,Healthcare and Social Assistance,4,1 to 9,Grove Hall,POINT (-71.082094 42.309778),,6,4,
2808,2809,42.3082,-71.0828,citywide parents council,21 Deckard St,2121,611710,Educational Support Services,61,Educational Services,4,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2810,2811,42.3082,-71.0828,church of the cosmic revelation,90 Geneva Ave,2121,813110,Religious Organizations,81,Other Services,3,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2818,2819,42.313512,-71.079241,caribbean foundation of boston,317 Blue Hill Ave,2121,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,60,50 to 99,Grove Hall,POINT (-71.079241 42.313512),,6,4,
2821,2822,42.30619,-71.080272,burger king,100 Washington St,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,44,25 to 49,Grove Hall,POINT (-71.080272 42.30619),,6,4,
2822,2823,42.307069,-71.082074,"brothers supermarket, inc",46 Washington St,2121,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,2,1 to 9,Grove Hall,POINT (-71.082074 42.307069),,6,4,
2824,2825,42.309727,-71.082169,boston summit corp,438 Blue Hill Ave,2121,0,,99,Undefined,0,Not Available,Grove Hall,POINT (-71.082169 42.309727),,6,4,
2825,2826,42.307076,-71.081091,boston school district,60 Washington St,2121,611110,Elementary and Secondary Schools,61,Educational Services,12,10 to 24,Grove Hall,POINT (-71.081091 42.307076),,6,4,
2826,2827,42.303658,-71.084763,boston checkcashers inc,610 Blue Hill Ave,2121,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,10,10 to 24,Grove Hall,POINT (-71.084763 42.303658),,6,4,
2828,2829,42.306408,-71.080399,blue mountain apartments llc,80 Washington St,2121,531110,Lessors of Residential Buildings and Dwellings,53,Real Estate Rental and Leasing,5,1 to 9,Grove Hall,POINT (-71.080399 42.306408),,6,4,
2831,2832,42.312811,-71.079707,blue hill cleaners,336 Blue Hill Ave,2121,812320,Drycleaning and Laundry Services (except Coin-Operated),81,Other Services,2,1 to 9,Grove Hall,POINT (-71.079707 42.312811),,6,4,
2833,2834,42.313512,-71.079241,blue hill ave pharmacy,320 Blue Hill Ave,2121,621330,Offices of Mental Health Practitioners (except Physicians),62,Healthcare and Social Assistance,7,1 to 9,Grove Hall,POINT (-71.079241 42.313512),,6,4,
2838,2839,42.310257,-71.081779,bethlehem healing temple church,428 Blue Hill Ave,2121,813110,Religious Organizations,81,Other Services,2,1 to 9,Grove Hall,POINT (-71.081779 42.310257),,6,4,
2839,2840,42.306286,-71.080284,bds discount,90 Washington St,2121,452210,Department Stores,45,Retail Trade,3,1 to 9,Grove Hall,POINT (-71.080284 42.306286),,6,4,
2840,2841,42.313617,-71.079116,ardi physical therapy,318 Blue Hill Ave,2121,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",62,Healthcare and Social Assistance,4,1 to 9,Grove Hall,POINT (-71.079116 42.313617),,6,4,
2841,2842,42.303902,-71.084594,allen tuxedo,594 Blue Hill Ave,2121,532281,Formal Wear and Costume Rental,53,Real Estate Rental and Leasing,2,1 to 9,Grove Hall,POINT (-71.084594 42.303902),,6,4,
2842,2843,42.303902,-71.084594,allan formal wear,594 Blue Hill Ave,2121,448140,Family Clothing Stores,44,Retail Trade,1,1 to 9,Grove Hall,POINT (-71.084594 42.303902),,6,4,
2843,2844,42.308312,-71.082633,alima's african hair braiding,10 Washington St,2121,812112,Beauty Salons,81,Personal Care Services,3,1 to 9,Grove Hall,POINT (-71.082633 42.308312),,6,4,
2844,2845,42.313512,-71.079241,alima's african hair braiding,320 Blue Hill Ave,2121,812112,Beauty Salons,81,Personal Care Services,3,1 to 9,Grove Hall,POINT (-71.079241 42.313512),,6,4,
2845,2846,42.30809,-71.083172,aischa's african hair braiding,7 Washington St,2121,812112,Beauty Salons,81,Personal Care Services,3,1 to 9,Grove Hall,POINT (-71.083172 42.30809),,6,4,
2846,2847,42.30809,-71.083172,aida dominican style beauty salon,7 Washington St,2121,812112,Beauty Salons,81,Personal Care Services,1,1 to 9,Grove Hall,POINT (-71.083172 42.30809),,6,4,
2851,2852,42.305404,-71.081098,abac inc,102 Columbia Rd,2121,624110,Child and Youth Services,62,Healthcare and Social Assistance,6,1 to 9,Grove Hall,POINT (-71.081098 42.305404),,6,4,
2854,2855,42.308081,-71.08237,2418 club,24 Washington St,2121,813410,Civic and Social Organizations,81,Other Services,5,1 to 9,Grove Hall,POINT (-71.08237 42.308081),,6,4,
2855,2856,42.311327,-71.080831,wings & tingz,388 Blue Hill Ave,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,8,1 to 9,Grove Hall,POINT (-71.080831 42.311327),,6,4,
2858,2859,42.309511,-71.08231,los almendros restaurant,454 Blue Hill Ave,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,8,1 to 9,Grove Hall,POINT (-71.08231 42.309511),,6,4,
2859,2860,42.309727,-71.082169,grove hall unisex salon,438 Blue Hill Ave,2121,812112,Beauty Salons,81,Personal Care Services,3,1 to 9,Grove Hall,POINT (-71.082169 42.309727),,6,4,
2860,2861,42.309971,-71.081839,grove hall main st,436 Blue Hill Ave,2121,0,,99,Undefined,0,Not Available,Grove Hall,POINT (-71.081839 42.309971),,6,4,
2861,2862,42.309511,-71.08231,grove hall discount,448 Blue Hill Ave,2121,452210,Department Stores,45,Retail Trade,3,1 to 9,Grove Hall,POINT (-71.08231 42.309511),,6,4,
2862,2863,42.309586,-71.082386,grove hall creamery,444 Blue Hill Ave,2121,722515,Snack and Nonalcoholic Beverage Bars,72,Accommodation and Food Services,4,1 to 9,Grove Hall,POINT (-71.082386 42.309586),,6,4,
2863,2864,42.311327,-71.080831,el dorado restaurant,388 Blue Hill Ave,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,3,1 to 9,Grove Hall,POINT (-71.080831 42.311327),,6,4,
2866,2867,42.299825,-71.074543,wade bbq,323 Washington St,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,4,1 to 9,Four Corners,POINT (-71.074543 42.299825),,6,4,
2867,2868,42.303273,-71.078837,vip wireless multi service,5 Erie St,2121,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,2,1 to 9,Four Corners,POINT (-71.078837 42.303273),,6,4,
2868,2869,42.299615,-71.074151,viet aid,335 Washington St,2121,238990,All Other Specialty Trade Contractors,23,Construction,0,Not Available,Four Corners,POINT (-71.074151 42.299615),,6,4,
2869,2870,42.296006,-71.072368,venetian curtain & drapery cleaners,443 Washington St,2124,812320,Drycleaning and Laundry Services (except Coin-Operated),81,Other Services,2,1 to 9,Four Corners,POINT (-71.072368 42.296006),,6,4,
2870,2871,42.305204,-71.080015,velus,116 Washington St,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,8,1 to 9,Four Corners,POINT (-71.080015 42.305204),,6,4,
2871,2872,42.30334,-71.078781,vaughan fish & chips,1 Erie St,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,2,1 to 9,Four Corners,POINT (-71.078781 42.30334),,6,4,
2872,2873,42.304401,-71.078975,varela's cleaning service,154 Washington St,2121,561720,Janitorial Services,56,"Adminstrative, Support, Waste Management, and Remediation Services",5,1 to 9,Four Corners,POINT (-71.078975 42.304401),,6,4,
2873,2874,42.304352,-71.079435,vapor smok tech inc,147 Washington St,2121,453991,Tobacco Stores,45,Retail Trade,3,1 to 9,Four Corners,POINT (-71.079435 42.304352),,6,4,
2874,2875,42.301848,-71.076845,urban guild inc,260 Washington St,2121,813319,Other Social Advocacy Organizations,81,Other Services,9,1 to 9,Four Corners,POINT (-71.076845 42.301848),,6,4,
2875,2876,42.295669,-71.072473,ups access point location,451 Washington St,2124,541860,Direct Mail Advertising,54,"Professional, Scientific, and Technical Services",13,10 to 24,Four Corners,POINT (-71.072473 42.295669),,6,4,
